   hex | basic formatted name                              AGL name                 with extension                          range                                   uni name            
 18BDC : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18BDD : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18BDE : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18BDF : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18BE0 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18BE1 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18BE2 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18BE3 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18BE4 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18BE5 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18BE6 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18BE7 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18BE8 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18BE9 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18BEA : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18BEB : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18BEC : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18BED : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18BEE : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18BEF : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18BF0 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18BF1 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18BF2 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18BF3 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18BF4 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18BF5 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18BF6 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18BF7 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18BF8 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18BF9 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18BFA : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18BFB : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18BFC : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18BFD : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18BFE : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18BFF : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C00 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C01 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C02 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C03 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C04 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C05 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C06 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C07 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C08 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C09 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C0A : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C0B : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C0C : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C0D : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C0E : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C0F : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C10 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C11 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C12 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C13 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C14 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C15 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C16 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C17 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C18 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C19 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C1A : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C1B : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C1C : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C1D : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C1E : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C1F : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C20 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C21 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C22 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C23 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C24 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C25 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C26 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C27 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C28 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C29 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C2A : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C2B : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C2C : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C2D : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C2E : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C2F : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C30 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C31 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C32 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C33 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C34 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C35 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C36 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C37 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C38 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C39 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C3A : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C3B : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C3C : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C3D : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C3E : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C3F : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C40 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C41 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C42 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C43 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C44 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C45 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C46 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C47 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C48 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C49 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C4A : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C4B : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C4C : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C4D : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C4E : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C4F : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C50 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C51 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C52 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C53 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C54 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C55 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C56 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C57 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C58 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C59 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C5A : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C5B : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C5C : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C5D : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C5E : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C5F : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C60 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C61 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C62 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C63 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C64 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C65 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C66 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C67 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C68 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C69 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C6A : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C6B : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C6C : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C6D : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C6E : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C6F : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C70 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C71 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C72 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C73 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C74 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C75 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C76 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C77 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C78 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C79 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C7A : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C7B : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C7C : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C7D : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C7E : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C7F : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C80 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C81 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C82 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C83 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C84 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C85 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C86 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C87 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C88 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C89 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C8A : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C8B : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C8C : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C8D : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C8E : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C8F : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C90 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C91 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C92 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C93 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C94 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C95 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C96 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C97 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C98 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C99 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C9A : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C9B : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18C9C : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
